departure_date,booking_date,cum_bookings
8/25/2012,7/31/2012,38
8/25/2012,8/1/2012,38
8/25/2012,8/2/2012,39
8/25/2012,8/3/2012,41
8/25/2012,8/4/2012,41
8/25/2012,8/5/2012,42
8/25/2012,8/6/2012,44
8/25/2012,8/7/2012,46
8/25/2012,8/8/2012,52
8/25/2012,8/9/2012,55
8/25/2012,8/10/2012,56
8/25/2012,8/11/2012,59
8/25/2012,8/12/2012,59
8/25/2012,8/13/2012,63
8/25/2012,8/14/2012,71
8/25/2012,8/15/2012,73
8/25/2012,8/16/2012,76
8/25/2012,8/17/2012,78
8/25/2012,8/18/2012,82
8/25/2012,8/19/2012,82
8/25/2012,8/20/2012,89
8/25/2012,8/21/2012,95
8/25/2012,8/22/2012,98
8/25/2012,8/23/2012,110
8/25/2012,8/24/2012,138
8/25/2012,8/25/2012,182
8/26/2012,6/27/2012,0
8/26/2012,6/28/2012,0
8/26/2012,6/29/2012,0
8/26/2012,6/30/2012,0
8/26/2012,7/1/2012,0
8/26/2012,7/2/2012,0
8/26/2012,7/3/2012,0
8/26/2012,7/4/2012,0
8/26/2012,7/5/2012,1
8/26/2012,7/6/2012,1
8/26/2012,7/7/2012,1
8/26/2012,7/8/2012,1
8/26/2012,7/9/2012,1
8/26/2012,7/10/2012,1
8/26/2012,7/11/2012,1
8/26/2012,7/12/2012,3
8/26/2012,7/13/2012,4
8/26/2012,7/14/2012,4
8/26/2012,7/15/2012,4
8/26/2012,7/16/2012,5
8/26/2012,7/17/2012,5
8/26/2012,7/18/2012,5
8/26/2012,7/19/2012,5
8/26/2012,7/20/2012,5
8/26/2012,7/21/2012,5
8/26/2012,7/22/2012,5
8/26/2012,7/23/2012,5
8/26/2012,7/24/2012,7
8/26/2012,7/25/2012,7
8/26/2012,7/26/2012,7
8/26/2012,7/27/2012,7
8/26/2012,7/28/2012,7
8/26/2012,7/29/2012,7
8/26/2012,7/30/2012,7
8/26/2012,7/31/2012,9
8/26/2012,8/1/2012,9
8/26/2012,8/2/2012,10
8/26/2012,8/3/2012,10
8/26/2012,8/4/2012,10
8/26/2012,8/5/2012,12
8/26/2012,8/6/2012,13
8/26/2012,8/7/2012,21
8/26/2012,8/8/2012,26
8/26/2012,8/9/2012,29
8/26/2012,8/10/2012,34
8/26/2012,8/11/2012,34
8/26/2012,8/12/2012,34
8/26/2012,8/13/2012,35
8/26/2012,8/14/2012,46
8/26/2012,8/15/2012,48
8/26/2012,8/16/2012,51
8/26/2012,8/17/2012,53
8/26/2012,8/18/2012,56
8/26/2012,8/19/2012,59
8/26/2012,8/20/2012,61
8/26/2012,8/21/2012,66
8/26/2012,8/22/2012,67
8/26/2012,8/23/2012,85
8/26/2012,8/24/2012,99
8/26/2012,8/25/2012,109
8/26/2012,8/26/2012,141
8/27/2012,6/28/2012,2
8/27/2012,6/29/2012,5
8/27/2012,6/30/2012,5
8/27/2012,7/1/2012,5
8/27/2012,7/2/2012,5
8/27/2012,7/3/2012,5
8/27/2012,7/4/2012,5
8/27/2012,7/5/2012,8
8/27/2012,7/6/2012,16
8/27/2012,7/7/2012,16
8/27/2012,7/8/2012,16
8/27/2012,7/9/2012,17
8/27/2012,7/10/2012,19
8/27/2012,7/11/2012,19
8/27/2012,7/12/2012,20
8/27/2012,7/13/2012,21
8/27/2012,7/14/2012,21
8/27/2012,7/15/2012,21
8/27/2012,7/16/2012,23
8/27/2012,7/17/2012,24
8/27/2012,7/18/2012,24
8/27/2012,7/19/2012,28
8/27/2012,7/20/2012,29
8/27/2012,7/21/2012,29
8/27/2012,7/22/2012,29
8/27/2012,7/23/2012,36
8/27/2012,7/24/2012,39
8/27/2012,7/25/2012,41
